       0          72.64160016          23.16879686        -160.48438434        -137.31558748
     100          65.43323663          20.86971328        -158.26635748        -137.39664420
     200          59.79291673          19.07075200        -156.47936252        -137.40861052
     300          57.64514280          18.38572665        -155.78652892        -137.40080228
     400          60.30123889          19.23287966        -156.54009116        -137.30721150
     500          61.72762728          19.68782150        -157.10161687        -137.41379537
     600          57.14347223          18.22572049        -155.66135485        -137.43563437
     700          59.33906643          18.92599796        -156.26728969        -137.34129173
     800          59.75647587          19.05912931        -156.36554426        -137.30641495
     900          54.35607344          17.33668891        -154.79957079        -137.46288188
    1000          58.38087656          18.62038648        -155.96230669        -137.34192021
    1100          59.80933564          19.07598876        -156.35932099        -137.28333224
    1200          59.35800355          18.93203789        -156.26587665        -137.33383876
    1300          62.28306286          19.86497583        -157.10909906        -137.24412324
    1400          56.93168792          18.15817258        -155.44501733        -137.28684474
    1500          58.26383349          18.58305599        -155.91700555        -137.33394956
    1600          57.40448498          18.30896964        -155.68941538        -137.38044574
    1700          62.93329516          20.07236526        -157.42260553        -137.35024027
    1800          53.45890135          17.05053885        -154.52525666        -137.47471781
    1900          59.48052540          18.97111582        -156.30527788        -137.33416206
    2000          62.75114395          20.01426874        -157.30132634        -137.28705761
    2100          57.86465886          18.45574056        -155.66814504        -137.21240447
    2200          60.48709290          19.29215718        -156.59447068        -137.30231349
    2300          53.81193894          17.16313902        -154.43944722        -137.27630821
    2400          59.52572193          18.98553111        -156.33952786        -137.35399675
    2500          58.92686581          18.79452794        -156.03041539        -137.23588745
    2600          61.65941060          19.66606401        -156.94491184        -137.27884783
    2700          58.81987813          18.76040457        -156.07031128        -137.30990671
    2800          53.15475445          16.95353221        -154.26693033        -137.31339812
    2900          54.95193293          17.52673631        -154.82877245        -137.30203614
    3000          55.99963573          17.86089764        -155.23428956        -137.37339193
    3100          56.97369921          18.17157194        -155.46229967        -137.29072772
    3200          54.82660759          17.48676421        -154.82425933        -137.33749512
    3300          58.17829048          18.55577233        -155.99088336        -137.43511104
    3400          57.28761729          18.27169507        -155.64132348        -137.36962841
    3500          55.43527484          17.68089661        -155.09613565        -137.41523904
    3600          55.08690771          17.56978607        -155.00142901        -137.43164294
    3700          56.84775030          18.13140096        -155.56341075        -137.43200979
    3800          51.62383517          16.46525060        -153.98190207        -137.51665148
    3900          52.18977636          16.64575566        -154.10781050        -137.46205484
    4000          52.04649850          16.60005766        -153.99308449        -137.39302683
    4100          56.74188647          18.09763604        -155.56857023        -137.47093419
    4200          51.99709604          16.58430091        -154.04249924        -137.45819833
    4300          51.52531290          16.43382725        -153.89635544        -137.46252819
    4400          53.08877352          16.93248781        -154.37595138        -137.44346357
    4500          55.28498650          17.63296264        -154.99818127        -137.36521863
    4600          50.52660066          16.11529130        -153.47979716        -137.36450587
    4700          54.85842102          17.49691100        -154.84172490        -137.34481390
    4800          51.56202155          16.44553535        -153.90032174        -137.45478639
    4900          44.22019852          14.10388530        -151.44769063        -137.34380532
    5000          51.56160804          16.44540346        -153.88133439        -137.43593093
    5100          52.25806398          16.66753577        -154.08735747        -137.41982170
    5200          51.97613054          16.57761403        -153.91499521        -137.33738117
    5300          55.14539813          17.58844139        -154.98453398        -137.39609259
    5400          50.05093967          15.96358081        -153.38262298        -137.41904217
    5500          47.18418812          15.04923993        -152.39090959        -137.34166966
    5600          51.91186428          16.55711652        -153.94144028        -137.38432376
    5700          52.84094624          16.85344413        -154.28816359        -137.43471946
    5800          50.14901709          15.99486227        -153.32398463        -137.32912236
    5900          53.63176363          17.10567270        -154.54451620        -137.43884349
    6000          55.99999649          17.86101270        -155.31948761        -137.45847491
    6100          57.11675534          18.21719922        -155.61326068        -137.39606146
    6200          56.60766093          18.05482525        -155.45394071        -137.39911546
    6300          52.87306792          16.86368923        -154.22707794        -137.36338871
    6400          51.51922573          16.43188576        -153.74849431        -137.31660854
    6500          54.31964035          17.32506870        -154.73576543        -137.41069673
    6600          48.34493230          15.41945543        -152.77605693        -137.35660150
    6700          52.13205318          16.62734504        -153.95998334        -137.33263831
    6800          52.88143715          16.86635857        -154.30518760        -137.43882903
    6900          59.44719673          18.96048576        -156.39547544        -137.43498968
    7000          49.63156801          15.82982361        -153.28009982        -137.45027621
    7100          52.90865797          16.87504056        -154.35260942        -137.47756886
    7200          52.09495216          16.61551179        -154.05436731        -137.43885551
    7300          57.01605796          18.18508213        -155.62737281        -137.44229068
    7400          51.49261143          16.42339722        -153.83856166        -137.41516444
    7500          55.24393381          17.61986902        -154.99972146        -137.37985244
    7600          51.05762284          16.28465906        -153.64867283        -137.36401377
    7700          55.83942658          17.80979946        -155.17022663        -137.36042717
    7800          49.84677668          15.89846370        -153.28151757        -137.38305387
    7900          51.91720665          16.55882045        -153.91915026        -137.36032981
    8000          52.57215759          16.76771488        -154.23774508        -137.47003020
    8100          52.26290863          16.66908095        -154.20560850        -137.53652755
    8200          58.30342087          18.59568225        -156.08929708        -137.49361483
    8300          48.24540191          15.38771054        -152.76295595        -137.37524541
    8400          51.09081075          16.29524423        -153.69851563        -137.40327140
    8500          51.90003317          16.55334303        -153.94920441        -137.39586138
    8600          54.43554871          17.36203728        -154.84006638        -137.47802910
    8700          48.27208555          15.39622120        -152.74830128        -137.35208009
    8800          54.42735027          17.35942242        -154.76696628        -137.40754386
    8900          50.68132981          16.16464165        -153.54463965        -137.37999801
    9000          48.80794751          15.56713259        -152.87909475        -137.31196216
    9100          54.68089207          17.44028873        -154.83208813        -137.39179940
    9200          52.29207028          16.67838196        -154.08604343        -137.40766147
