#natoms	serial	omp	mpi	hybrid
108	0.0001304852135	0.0001318366304	0.000239466936	0.0002241281808
500	0.001887615771	0.001864727351	0.002648673249	0.002600900229
1000	0.00587884093	0.00585275475	0.00472844427	0.004809029364
2916	0.039018476503	0.038622161264	0.021804336744	0.022321166328

